,Fecha,Día,Temperatura Media
5079,Mar2019,27,0
5080,Mar2019,28,0
5081,Mar2019,29,0
5082,Mar2019,30,0
5084,Apr2019,01,0
5085,Apr2019,02,0
5086,Apr2019,03,0
5087,Apr2019,04,0
5088,Apr2019,05,0
5089,Apr2019,06,0
5090,Apr2019,07,0
5091,Apr2019,08,0
5092,Apr2019,09,0
5093,Apr2019,10,0
5094,Apr2019,11,0
5095,Apr2019,12,0
5096,Apr2019,13,0
5097,Apr2019,14,0
5098,Apr2019,15,0
5099,Apr2019,16,0
5100,Apr2019,17,0
5101,Apr2019,18,0
5102,Apr2019,19,0
5103,Apr2019,20,0
5104,Apr2019,21,0
5105,Apr2019,22,0
5106,Apr2019,23,0
5107,Apr2019,24,0
5108,Apr2019,25,0
5109,Apr2019,26,0
5110,Apr2019,27,0
5111,Apr2019,28,0
5112,Apr2019,29,0
5115,May2019,01,0
5116,May2019,02,0
5117,May2019,03,0
5118,May2019,04,0
5119,May2019,05,0
5120,May2019,06,0
5121,May2019,07,0
5122,May2019,08,0
5123,May2019,09,0
5124,May2019,10,0
5125,May2019,11,0
5126,May2019,12,0
5127,May2019,13,0
5128,May2019,14,0
5129,May2019,15,0
5130,May2019,16,0
5131,May2019,17,0
5132,May2019,18,0
5133,May2019,19,0
5134,May2019,20,0
5135,May2019,21,0
5136,May2019,22,0
5137,May2019,23,0
5138,May2019,24,0
5139,May2019,25,0
5140,May2019,26,0
5141,May2019,27,0
5142,May2019,28,0
5143,May2019,29,0
5144,May2019,30,0
5146,Jun2019,01,0
5147,Jun2019,02,0
5148,Jun2019,03,0
5149,Jun2019,04,0
5150,Jun2019,05,0
5151,Jun2019,06,0
5152,Jun2019,07,0
5153,Jun2019,08,0
5154,Jun2019,09,0
5155,Jun2019,10,0
5156,Jun2019,11,0
5157,Jun2019,12,0
5158,Jun2019,13,0
5159,Jun2019,14,0
5160,Jun2019,15,0
5161,Jun2019,16,0
5162,Jun2019,17,0
5163,Jun2019,18,0
5164,Jun2019,19,0
5165,Jun2019,20,0
5166,Jun2019,21,0
